date;Arconate;Caiolo;Cinisello_PN;Mantova_Lunetta2;Pieve_SGiacomo;Vertemate
07/12/2015;402.19;184.34;257.49;NA;194.18;649.04
08/12/2015;480.66;NA;495.29;915.84;817.95;299.78
09/12/2015;197.37;NA;421.34;731.5;721.03;359.63
10/12/2015;239.4;NA;291.54;956.8;974.62;517.77
11/12/2015;258.02;NA;333.3;1046.98;1223.07;528.14
12/12/2015;237.36;NA;264.8;533.2;414.96;1219.34
13/12/2015;280.9;NA;485.23;484.12;275.31;429.59
14/12/2015;296.59;NA;641.31;NA;282.49;524.53
15/12/2015;191.52;146.83;186.73;653.56;259.62;274.51
16/12/2015;268.13;318.93;202.96;753.05;567.11;239.4
17/12/2015;266;NA;257.49;478.8;1038.46;305.24
18/12/2015;352.58;158.8;355.38;1037.4;931.8;286.75
19/12/2015;394.74;119.17;377.59;722.72;539.05;322.13
20/12/2015;376.92;46.55;295.66;594.64;1141.67;297.92
21/12/2015;177.16;135.93;158;386.63;255.88;155.61
22/12/2015;279.3;73.55;178.22;443.16;380.38;402.19
23/12/2015;458.18;205.75;719.62;832.05;769.76;659.68
24/12/2015;NA;199.5;629.55;NA;844.68;456.86
25/12/2015;271.32;58.52;765.26;NA;933.31;363.09
26/12/2015;317.87;55.24;363.09;NA;1284.78;497.95
27/12/2015;263.34;NA;318.4;1203.38;526.15;200.43
28/12/2015;196.84;NA;296.06;1040.59;974.36;262.54
29/12/2015;192.85;162.79;221.58;863.17;705.43;994.84
30/12/2015;NA;NA;1074.64;1835.93;NA;829.92
31/12/2015;272.92;261.74;478.8;1922.51;450.6;356.17
01/01/2016;277.97;142.04;617.39;790.95;837.9;795.87
02/01/2016;366.32;446.61;297.92;2093.69;NA;775.66
03/01/2016;567.66;945.1;871.35;NA;NA;847.48
04/01/2016;610.38;485.18;801.66;NA;NA;NA
05/01/2016;328.51;337.95;596.66;NA;NA;389.87
06/01/2016;427.73;277.7;917.7;1797.63;NA;453.26
07/01/2016;193.65;150.69;235.54;NA;NA;248.71
